WKT,Status,x,y,Block
"POINT (4.50536123950581 34.6589465343926)",Not Start,4.5053612390,34.6589465300,G1
"POINT (4.50535526938562 34.659019303326)",Not Start,4.5053552690,34.6590193000,G1
"POINT (4.50534929926544 34.6590920722594)",Not Start,4.5053492990,34.6590920700,G1
"POINT (4.50534341992173 34.6591639457824)",Not Start,4.5053434190,34.6591639400,G1
"POINT (4.50533744108799 34.6592358092192)",Not Start,4.5053374410,34.6592358000,G1
"POINT (4.50533157045784 34.6593085882389)",Not Start,4.5053315700,34.6593085800,G1
"POINT (4.50532559932902 34.6593813671213)",Not Start,4.5053255990,34.6593813600,G1
"POINT (4.50531971998531 34.6594532406443)",Not Start,4.5053197200,34.6594532400,G1
"POINT (4.50531374115155 34.6595251040811)",Not Start,4.5053137410,34.6595251000,G1
"POINT (4.50530893571567 34.6595844017892)",Not Start,4.5053089350,34.6595844000,G1
"POINT (4.50530497660188 34.6596323771195)",Not Start,4.5053049760,34.6596323700,G1
"POINT (4.50530017116597 34.6596916748276)",Not Start,4.5053001710,34.6596916700,G1
"POINT (4.50529429182226 34.6597635483507)",Not Start,4.5052942910,34.6597635400,G1
"POINT (4.50528831298853 34.6598354117875)",Not Start,4.5052883130,34.6598354100,G1
"POINT (4.50528234286834 34.6599081807208)",Not Start,4.5052823420,34.6599081800,G1
"POINT (4.50527647223819 34.6599809597405)",Not Start,4.5052764720,34.6599809500,G1
"POINT (4.50527049340445 34.6600528231773)",Not Start,4.5052704930,34.6600528200,G1
"POINT (4.50526461406074 34.6601246967003)",Not Start,4.5052646140,34.6601246900,G1
"POINT (4.50525864394055 34.6601974656337)",Not Start,4.5052586430,34.6601974600,G1
"POINT (4.50525267382034 34.6602702345671)",Not Start,4.5052526730,34.6602702300,G1
"POINT (4.505246793468 34.6603421180392)",Not Start,4.5052467930,34.6603421100,G1
"POINT (4.50524198803213 34.6604014157473)",Not Start,4.5052419880,34.6604014100,G1
"POINT (4.50523802992696 34.6604493811286)",Not Start,4.5052380290,34.6604493800,G1
"POINT (4.50523322348243 34.6605086887857)",Not Start,4.5052332230,34.6605086800,G1
"POINT (4.50522724464869 34.6605805522225)",Not Start,4.5052272440,34.6605805500,G1
"POINT (4.50522137401854 34.6606533312421)",Not Start,4.5052213740,34.6606533300,G1
"POINT (4.50521540389835 34.6607261001755)",Not Start,4.5052154030,34.6607261000,G1
"POINT (4.50520952455464 34.6607979736986)",Not Start,4.5052095240,34.6607979700,G1
"POINT (4.5052035457209 34.6608698371354)",Not Start,4.5052035450,34.6608698300,G1
"POINT (4.50519757560072 34.6609426060687)",Not Start,4.5051975750,34.6609426000,G1
"POINT (4.50519170497056 34.6610153850884)",Not Start,4.5051917050,34.6610153800,G1
"POINT (4.5051857261368 34.6610872485252)",Not Start,4.5051857260,34.6610872400,G1
"POINT (4.50517984679309 34.6611591220482)",Not Start,4.5051798460,34.6611591200,G1
"POINT (4.50517504034858 34.6612184297053)",Not Start,4.5051750400,34.6612184200,G1
"POINT (4.50551637507028 34.6580052113739)",Not Start,4.5055163750,34.6580052100,G1
"POINT (4.50551156862578 34.658064519031)",Not Start,4.5055115680,34.6580645100,G1
"POINT (4.50550568928207 34.6581363925541)",Not Start,4.5055056890,34.6581363900,G1
"POINT (4.50549980993836 34.6582082660772)",Not Start,4.5054998090,34.6582082600,G1
"POINT (4.50549383981817 34.6582810350105)",Not Start,4.5054938390,34.6582810300,G1
"POINT (4.50548786969796 34.6583538039439)",Not Start,4.5054878690,34.6583538000,G1
